unit,text,sample_type
13767,"He compared two routers side by side, focusing on range, ports, and whether they supported the newest standard. One looked sleek but hid the specs behind marketing language, while the other spelled everything out. After reading reviews, he realized the cheaper option had stronger performance where it counted. The comparison ended when he saw the test results, not the brand name.",single
13767,"The review started polite and then turned sharp. She wrote that the product arrived scratched, the instructions were useless, and support never replied. Photos of the defect sat next to a one-star rating that anyone could see. It was the kind of feedback that makes a company either fix things fast or lose customers.",single
13767,"She signed up for a weekend workshop after checking the schedule, location, and cost on the event page. At the front desk, another attendee insisted the class start exactly on time and complained loudly about the seating. During a break, a small business owner showed her an online storefront and bragged about the software features that handled payments and shipping. Across the room, two people argued over product specifications, comparing models and pointing at tiny differences in performance. That evening, a frustrated buyer posted negative feedback about a delayed order and tagged the company in every comment. By Monday, the organizer had updated the website with clearer details, trying to calm strong opinions before they spilled into more reviews.",mixed
14315,"She taped her drawings to the studio wall and stepped back to see them as a set. The charcoal lines looked rough up close, but from across the room they formed a calm rhythm. When friends came over, she watched which pieces made them stop and stare. The first time a gallery agreed to show them, she felt exposed and proud at once.",single
14315,"The conference calendar was packed with meetings, keynotes, and a closing reception. He arrived early to find the right room and ended up chatting with strangers in the hallway. Each presentation started on time, followed by questions that sometimes went longer than the talk. By the last day, he had a notebook full of names and a head full of ideas.",single
14315,"At the expo hall, posters and drawing boards lined the aisles like temporary walls. She gave a short presentation, then walked attendees through the visuals one panel at a time. Nearby, another booth ran demonstrations and scheduled mini talks every hour. The event felt like a moving conversation built out of displays and quick explanations.",single
14315,"The hearing room was formal, with microphones, name plates, and a strict agenda. Executives and officials took turns speaking while staffers passed notes behind them. When the chair called for questions, the tone shifted from speeches to scrutiny. Everyone sat straighter because the gathering was part performance and part accountability.",single
14315,"Their team booked a room for a monthly meeting, but it turned into an informal gathering once everyone started catching up. A colleague mentioned an upcoming exhibition and asked who wanted to go after work. Another person forwarded an invite to a presentation that overlapped with a training session, so plans had to change. It was the usual mix of conferences, meetings, and social moments that filled the calendar.",single
14315,"She arrived at the exhibition carrying a portfolio of drawings, hoping the lighting would flatter the paper. The opening was scheduled alongside a larger conference, so the hallway outside the gallery was crowded with badge-wearing attendees. In one room, a presenter flipped through slides and then gestured to a drawing board display set up for questions afterward. Across the street, a government hearing started at the same hour, and her colleague slipped out to testify before a panel. By late afternoon, meetings spilled into the lobby, and small groups formed around coffee as if that had been the plan all along. At the closing reception, she watched strangers study her work and felt the strange overlap of art, business, and formal events. On the train home, her calendar looked like a chain of gatherings stitched together by time slots and addresses.",mixed
16192,"The phone prompted him to install a software update and warned that it would restart. After the reboot, a bug in the messaging app was gone, but a new setting had changed his notifications. He dug through menus, adjusted options, and filed a report when one feature still failed. It felt like constant maintenance just to keep things working.",single
16192,"When the debate got heated, she made her position clear without raising her voice. She didn’t pretend to be neutral, and she didn’t soften the stance to make others comfortable. The situation improved once everyone knew where she stood. Even people who disagreed stopped trying to guess her intentions.",single
16192,"They drove themselves to a roadside diner, then checked into a small motel behind the gas station. Later that night they walked to a theater district where the lights stayed bright past midnight. The next day was more of the same, moving under their own power from cafés to attractions. Travel felt simple when every location offered food, a bed, or something to do.",single
16192,"He hates long flights but hates standing in lines even more. At boarding, he stayed on his feet because every seat near the gate was taken. Once airborne, he stared at the wing and tried to ignore the turbulence. Landing brought relief, followed immediately by more standing and walking.",single
16192,"One sip of the milkshake was enough to make his stomach knot. He had learned the hard way that he couldn’t tolerate lactose, no matter how much he liked it. Friends teased him for ordering oat milk, but the alternative was pain. He stopped treating it as a preference and started treating it as a limit.",single
16192,"At the hotel lobby, she stood in a long line while the clerk insisted the reservation system needed a quick software fix. Her phone buzzed with an update notification, and she installed it out of boredom, then had to adjust settings afterward. Once checked in, she drove to a late-night spot for food and then to a small club for entertainment, happy to move on her own schedule. Over dinner, a coworker took a firm position on a policy change and refused to budge, even when others pressed him. Before the early flight, she paced the gate area because sitting made her restless, then watched the plane lift into calm air above the city. In the cabin, she skipped the creamy snack because she couldn’t tolerate it and didn’t want to risk a rough landing in her stomach. By the time the trip ended, the week felt like a chain of places, stances, and small repairs that kept everything moving.",mixed
18124,"The guidebook described the hotel as quiet, clean, and a short walk from the station. A nearby café was labeled cozy with strong coffee and limited seating. He chose the place with the best location and the least risk, even if it cost a little more. Once there, the description matched reality down to the creaky staircase.",single
18124,"Her agency built a landing page for a fintech client and tracked conversions with analytics. The site copy was tuned for marketing, but the backend still had to handle secure forms and account creation. They spent as much time on compliance and payment flows as they did on design. Launch day felt like a mix of software development and financial product rollout.",single
18124,"He inspected the chair listing and checked the dimensions against his doorway. The frame was described as solid wood, and the fabric came in a deep blue that would hide stains. A close-up photo showed the weave and the finish on the legs. He bought it only after the material, size, and color all lined up with his space.",single
18124,"The chef set a bowl of noodles in front of her with broth that smelled like ginger and smoke. She tasted slowly, noticing how the spice built and then softened with herbs. Between bites, she watched the kitchen move with calm urgency. It wasn’t just eating dinner; it was being pulled into someone else’s craft for an hour.",single
18124,"In the study group, they read a passage from one of the Gospels and argued about its historical setting. Someone pointed out how the language reflected a society under empire and constant tension. Another person focused on how the story shaped later ideas about morality and community. They left with different interpretations, but everyone treated the text as something that had traveled through time.",single
18124,"He checked into a small inn that promised easy access to the old town, then walked to a restaurant praised for rich broth and careful plating. After dinner, he wandered into a boutique where every item had detailed notes about material, color, and exact measurements. Back in his room, he opened his laptop to review a client site he was helping build, balancing clean design with the marketing push for a new financial product. In the morning, a local guide described the museum as crowded but worth it, and that blunt attribute was accurate by the door. Later, he ducked into a church hall where a group was discussing a Gospel passage and its social context, voices low but intense. By sunset, the trip had become a collage of places, services, objects, meals, and old words that still made people argue.",mixed
28565,"Sophie Andersen signed the package receipt with a quick flourish. The courier asked if Laura Jensen was also at that address because another box had her name on it. In the hallway, a neighbor waved and said she thought the delivery was for Mia Larsen. The building was full of first names paired tightly with last names, like labels on doors.",single
28565,"He scrolled through a messy folder where a table photo was saved as IMG_furniture_1023.jpg and another as sofa_oak_final.png. While waiting for a plumber to call back, he ordered teriyaki chicken from a small Japanese place and ate it standing at the counter. A friend texted about selling a used sedan, and the link opened to a listing with blurry photos. Later, he bought leggings online and bookmarked an artist’s page showing abstract pieces with harsh neon graphics.",single
28565,"In the standup, Priya asked Alex to pull logs from Grafana and paste them into Jira. Jordan said the issue might be in Kubernetes, not the React client, and pointed to a ticket in Salesforce. After the call, Alex messaged Priya in Slack and attached a screenshot from Figma. It was all proper names, people and software, stitched together into a normal workday.",single
28565,"Martin told a story about the summer he and Elina got lost on a road trip and refused to ask for directions. He said Jonas kept insisting the map was wrong until they finally stopped at a tiny shop. Elina laughed because she remembered the panic better than Martin did. The names anchored the memory, turning a vague mishap into something specific.",single
28565,"Rashid met them at the station and drove straight toward Malmö without wasting time. On the way, he pointed out the neighborhood where he grew up and the park where he learned to skate. At the hotel, the receptionist introduced herself as Sara and recommended a nearby café. The trip turned into a chain of proper names, people and places, remembered because they were said out loud.",single
28565,"Sophie Larsen booked a plumber after the sink started leaking, then saved the invoice under a file name that matched her furniture photos. On her break, she grabbed teriyaki chicken and ate fast before meeting Alex in the office to review a dashboard in Grafana. Alex mentioned that Priya had updated the Jira ticket, and the room filled with people’s names and software names in the same breath. That evening, Martin told Elina an old anecdote about getting lost outside Malmö, and Jonas swore the detour was still her fault. They left in a borrowed sedan and stopped at a shop where Sara recommended a gallery showing bright graphic art pieces. Back home, Sophie ordered leggings online, found the tracking email addressed to Sophie Andersen, and laughed at how many versions of her name existed in the thread. By midnight, the day had stacked names, orders, locations, and random files into one long chain.",mixed
28810,"The grocery store posted a notice at the entrance about a recall tied to Listeria contamination. She checked the batch number on the cheese in her fridge and found it matched the warning. The hotline told her to throw it out immediately and sanitize the shelf. It was unsettling how a bacteria you can’t see can trigger a nationwide alarm.",single
28810,"Farmers crowded into the hall to complain about fertilizer prices that had doubled since last season. The agriculture minister tried to explain supply chains and subsidies, but the room kept pushing back. One grower held up receipts and asked why policy talk never matches real costs. The minister promised a review, and nobody looked convinced.",single
28810,"He filled out the form, but it still needed a stamp from the agency before anything could move forward. Every step led to another office with a different acronym on the door. When he finally reached the right institution, the clerk pointed to a separate queue for his type of request. Governmental organizations can solve problems, but they can also make simple things feel slow.",single
28810,"The town’s website listed a winter festival, a weekend pottery class, and a drop-in language course all in the same neighborhood. Each listing had a time, a price, and a contact number for booking. She picked a cooking workshop because it came with ingredients and a short walk from the station. By Saturday, the place felt busier than usual because everyone had found something to do.",single
28810,"On the call, one colleague joined from Switzerland and another dialed in from Holland. A partner in the US tried to keep the meeting moving, but time zones kept interrupting the flow. Later, a friend messaged from Costa Rica with a photo of rain and palm trees. The same day held four regions that felt like different planets.",single
28810,"The conference drew delegates from Switzerland, the US, Holland, and Costa Rica, and the hallway chatter switched languages every few steps. On the main stage, a government minister took questions about fertilizer costs while farmers in the audience waved invoices. Staff from a national agency stood by the doors, collecting forms and directing people to the right institutional desks. Outside, the host city advertised a festival and a set of short classes for visitors, and many attendees signed up after sessions. At lunch, the caterer quietly pulled a product after a Listeria recall alert, then replaced it without making a scene. By evening, the same crowd was discussing agriculture policy, local events, and food safety over coffee, tired but still arguing. When she returned to her room, she realized she had learned as much from the logistics as from the speeches.",mixed
29332,"The online listing described the shelf as solid oak with a matte finish. He measured the space and compared the dimensions to make sure it would fit between the radiator and the door. The photos showed hidden brackets that made the functionality clearer than the text did. He ordered it only after every detail, from material to width, matched his plan.",single
29332,"She clipped a discount code from the email and watched the total drop at checkout. The site dangled another voucher if she spent a little more, which felt like a trap. Still, the bargain was real enough that she added the item she’d been postponing. She left feeling like she had won a tiny fight against the price.",single
29332,"At the pediatric clinic, the nurse confirmed the Hib vaccine was on schedule and asked about any recent infections. On the way home, the neighborhood lost power, and the investor-owned utility posted an outage map with vague restoration times. That evening, a couples counselling appointment turned into a discussion about stress, a weak immune system, and money worries as the economy tightened. Later, she drafted an essay for the HARPO fellowship, trying to sound hopeful while the lights flickered back on.",single
29332,"He stared at the empty space on the wall where a photo used to hang. Everything else was in place, but the room felt unfinished anyway. The missing piece made him restless, like a sentence that ends too early. He kept walking back to that spot, convinced something important had slipped away.",single
29332,"He bought a gift voucher at the counter because he didn’t know what size she wanted. The cashier treated it like cash, scanning it and printing a receipt with a balance. Later, she used it online by typing the code into a payment box. It wasn’t sentimental, but as a financial instrument it worked exactly as intended.",single
29332,"He compared two desk lamps by reading the specs, checking the materials, and measuring the base so it would fit the shelf. At checkout, he used a voucher for a discount and felt the small rush of getting a bargain. Across town, his sister took her kid for a Hib vaccine, then drove home during a utility outage announced by the investor-owned company. That night, she and her partner went to couples counselling, where the therapist asked how a weak immune system and a weak economy were shaping their choices. On her laptop, she polished an application for the HARPO fellowship and noticed how tired she sounded in every paragraph. Meanwhile, he wrapped a gift voucher for their mother and still felt a hollow sense that something was missing from the plan. By the weekend, they had light back, receipts filed, and no clear answer for that nagging incompleteness.",mixed
29707,"She booked a small cooking class at a restaurant where the chef taught them to fold dumplings. The room filled with steam and the smell of garlic while everyone tried to keep up. Afterward, they sat down to eat the dishes they had made, laughing at the ugly ones that still tasted great. It felt like dinner and a lesson blended into one experience.",single
